name,x,y
cup,0.5297,0.1797
snail,-0.9269999,-0.7695
tree3,0.7742,0.6578
rainbow,-0.5121,0.8273
trashcan2,0.6199,-0.8371
chicken,0.1121,0.259
sun3,0.1047,0.8273
wood,-0.8719,0.1133
hat,-0.0348,-0.2902
boat2,-0.7793,-0.1086
trashcan,-0.9266,0.5668
beecave,0.7555,0.5738
foodbag,0.6215,0.2512
hat2,-0.3602,-0.9042999
jellyfish2,0.6156,-0.2855
rope,0.8957,0.0156
bag4,-0.8855001,-0.6312
cloud7,-0.191,0.8801001
rua,0.5395,-0.6852
bird,-0.5824,0.923
dog,0.6332,0.4836
boat3,-0.4445,0.123
tree (2),-0.7973,0.6578
suncream,0.0246,0.3824
chick2,0.3465,-0.8066
fish7,0.116,-0.2441
tree,-0.5102,0.6285
mushroom,-0.398,0.4699
water,-0.5824,-0.4777
kid3,0.0531,0.082
paperboat,-0.6383,0.1555
seawweed,0.5523,-0.5105
bag,0.3453,-0.6828
rock6,-0.8953,-0.507
sign,-0.1031,0.4832
buoy6,0.8066,-0.3992
cloud6,0.4609,0.9042999
tree2,0.8063,-0.6895
chick3,0.5016,-0.8922
bag2,-0.2762,-0.5992
racket,-0.1805,-0.3996
bird3,-0.9016,-0.0242
fish8,-0.1137,-0.0168
pucket,-0.2285,0.3055
birdnet,-0.8812,0.9121
brush6,-0.5465,0.4762
kid2,0.8152,-0.3449
bubble2,0.0172,-0.1625
fish9,-0.584,-0.3324
fire,0.4797,0.4727
man_fish,0.0652,-0.5566
kid2 (2),-0.2559,0.5004
bush,0.8242,-0.8925999
rock3,0.2926,-0.5766
boat5,0.7195,-0.1039
mankid,-0.7262,-0.5855
bush5,0.2086,0.1617
boy2 (2),-0.6172,0.3848
bush3,0.9117001,0.4004
camp,0.4113,0.6777
girl2,0.3617,-0.4016
bridge,0.5152,0.041
wood (2),0.1844,0.4816
flower2,-0.0922,0.3312
kite,-0.4125,0.6676
ball,-0.0371,-0.7758
boy,0.7891,0.2758
fish6,0.1609,-0.1152
fishman,-0.8496,-0.3156
beaver,-0.866,0.1434
man,0.3379,0.4559
bird2,0.6508,0.8375
bush2,-0.8758,0.3914
fish10,0.3629,-0.2008
mat,-0.5473,-0.8371
sign2,-0.752,0.4457
boy (2),-0.4469,-0.5668
girlpicnic,-0.6105,-0.7777
mouse,0.0172,0.5191
wood2,-0.8656,-0.8922
buoy,0.8391,0.0738
pucket2,0.2043,-0.759
sign (2),0.2395,-0.9027001
basket,-0.4359,-0.7465
Layer 8,0.5258,0.35
boy2,-0.1059,-0.5539
bush4,-0.4688,0.3266
chic1,0.048,-0.8758
boat,-0.2496,-0.2109
fish5,-0.2559,0.1254
visitor,-0.2246,-0.8012
kid_fish,0.3812,0.1383
girl_fish,-0.3367,-0.1035
kid2 (3),-0.3355,-0.3777
butterfly,-0.109,0.691
kid,-0.6914,-0.0449
lamp,0.1871,0.3742
