name,x,y
pisa,0.8773001,-0.157
flag,-0.8707,0.7961
girl3,0.8773001,-0.4605
staff2,-0.6383,-0.7742
heart2,-0.5949,-0.2008
pasta2,0.4711,0.0461
lips,-0.2594,-0.1793
hotair_ballon3,-0.5469,0.7301
building1,0.0059,0.2707
phone,-0.05119999,-0.6141
spaceship4,0.0738,0.6941
fish4,-0.2469,-0.9304999
visitor,-0.0121,-0.7023
waterleaf2,0.141,-0.9269999
staff,-0.2395,-0.6398
building3,0.2488,-0.0508
star4,-0.3453,0.1602
flower3,0.7449,-0.1352
bridge,-0.5668,-0.1016
flower2,0.7969,0.148
cup,-0.5902,0.1922
boat,-0.0957,-0.7793
fish5,-0.6379,-0.5418
oliu,0.0805,-0.3109
bird,0.8469,0.652
building4,0.6375,-0.2008
bag,0.7184,-0.375
duck3,-0.2852,-0.3066
umbrela2,0.2395,0.4414
bird4,0.8891,0.8516
pizza,0.2762,-0.4203
bottle2,-0.5297,-0.7699
column,-0.1359,-0.1418
hotair_ballon,0.6191,0.4805
leaf5,-0.3316,0.6723
hat2,-0.9055001,-0.0293
duck2,0.0789,-0.5434
waterleaf,-0.323,-0.4738
sign,0.3809,-0.8012
sun3,0.6227,0.8101999
duck,-0.0113,-0.3906
girl2,0.4062,-0.3582
hotair_ballon2,0.434,0.6305
cloud,0.8733999,0.2539
boat5,0.6742,-0.8797
bug2,-0.1605,0.125
icon3,0.6594,0.2707
dish,0.5594,-0.7816
man,0.5613,-0.4801
seawweed,-0.9363,-0.8949
cloud2,-0.2039,0.8305
leaf6,0.9066,0.4477
flower,0.6211,0.0387
leaf4,0.3625,-0.9113
bubble,-0.434,-0.5648
boy2,-0.4586,0.0504
bird (2),-0.8108999,0.8906
sign2,-0.8,0.1715
plink3,0.7562,-0.0141
flag2,-0.7012,0.0973
cloud3,-0.8816,0.5094
glasses,0.291,-0.3176
boat3,-0.1961,-0.3496
boat4,-0.7859,-0.8121001
orange,0.1785,0.2387
drop,0.2516,-0.7512
bee,-0.8996,0.125
airplane,-0.0359,0.9132999
boat2,-0.6633,-0.3992
seahorse,-0.9117001,-0.5805
pole2,0.15,-0.4445
mask,-0.8992001,-0.309
pole,0.4422,-0.5906
moto,0.7352,-0.5375
dragonfly2,-0.7191,-0.232
money,-0.6465,0.393
hat,-0.3926,-0.3539
star4 (2),-0.9288999,0.3762
sign3,-0.2469,0.3254
hotair_ballon (2),0.2652,0.7945
tomato,-0.9269999,-0.1848
ballon2,-0.7289,0.5871
seawweed2,-0.3898,-0.9152001
ciaobella,-0.3199,-0.5586
spoon,0.6375,0.1242
kite,-0.1359,0.5348
mask (2),0.3758,0.25
fish3,0.2906,-0.6172
girl,-0.2801,0.0043
starfall,0.9109,0.125
fish1,-0.5137,-0.6543
bug,0.7336,-0.7086
rope,0.8535,-0.7656
bird2,-0.4289,0.4266
