name,x,y
door,-0.7245,-0.1959
plant4,0.5122,0.1434
lantern2,0.023,0.8704
window,0.0235,0.2648
tree,0.7684001,0.6388
roof,-0.3536,0.0847
plant1,0.0398,-0.1444
menu,-0.5056,-0.1653
women2,-0.4791,-0.6964
girl5,-0.6694,0.4903
banana,-0.8571,-0.9005
spider,-0.4383,0.851
banner,-0.8633,0.7944
bike,0.3026,-0.7709
boy3,-0.4337,0.4842
dog,0.8388,-0.2082
women1,-0.7587,-0.6393
Crossroad,-0.2765,-0.7393
seward,0.7117,-0.8403
ball,0.5061,-0.3954
cat,0.3622,-0.101
car,0.7684001,0.1398
plant,-0.551,0.5495
plant1 (2),-0.3842,-0.3673
water_pole,0.8832,-0.0383
window2,0.4592,0.3362
lamp,0.6403,0.5408
dog2,0.0821,-0.449
manndog,-0.0898,-0.3582
door2,0.2163,0.2168
