name,x,y
pic,-45,55
beanchair3,-130,81
boy (2),-1,33
girl8,-14,184
boy3 (2),-54,134
star4 (2),-7,10
spider,0,-17
girlsit2,18,21
bee,51,-5
clock,36,35
man2,20,-20
boy9,47,13
girl9,4,-98
star,6,18
table2,-44,42
phao,21,10
drink3,-36,19
bug2,77,-24
water,7,18
speaker,44,0
sofa,64.4,83.5
gift,-30,42
plant (2),35,-69
girl4,3,59
girl,57,-14
boy6,-10,38
girl5 (2),76,49
boy2,-87,-16
banner,-70,-10
ballon (2),1,43
girlsit,-4.5,33.6
girlsit6,36,-75
girl3,22,29
cup1,23,-9
boy6 (2),96,-103
leaf6,58,56
girlsit3 (2),-74,9
gitarboy,-1,71
boysit5,18,-63
girldance,-21,69
bird,6,-29
baconey,18,-85
mistletoe,54,47
cup2,-34,-11
